frame,hops_from_anchor,anchor_frame,err_m,est_lat,est_lon,gt_lat,gt_lon
0,0,0,128.97175653776966,43.521055926907,-5.625293845699417,43.5219581806046,-5.62429153135596
10,1,0,128.9706503580115,43.52105607834304,-5.625294145401938,43.5219581209767,-5.6242914916562
20,2,0,128.9623922950421,43.52105603575816,-5.625294077110828,43.5219580345242,-5.62429151133466
30,3,0,128.95684530319298,43.52105599405322,-5.625294018021494,43.5219578274057,-5.6242912787542
40,4,0,128.94418251330515,43.52105559177916,-5.6252932670617435,43.5219577224638,-5.6242912866802
50,5,0,128.90413888953228,43.5210542108958,-5.62529064630708,43.5219574903239,-5.62429142883582
60,6,0,128.854452546247,43.521052569478904,-5.625287524622321,43.5219571508382,-5.62429153594885
70,7,0,128.82814272481147,43.52105157534516,-5.6252856384059235,43.521956844868,-5.62429136271165
80,8,0,128.8014896694998,43.52105100302315,-5.625284555946138,43.5219566631367,-5.62429148746382
90,9,0,128.7895170678396,43.52105043967499,-5.625283484400581,43.5219566200653,-5.62429155756779
100,10,0,128.80561416533766,43.521050904925715,-5.625284366511173,43.5219566814313,-5.62429141782662
110,11,0,128.81097095256231,43.521051426978296,-5.625285354705174,43.521956779921,-5.62429156504521
120,12,0,128.86581012995492,43.52105432619813,-5.625290867190645,43.5219572309371,-5.62429176443359
130,13,0,128.89231686654463,43.52105562409644,-5.625293332394074,43.5219574919476,-5.62429192636176
140,14,0,128.937855470932,43.521057252140096,-5.625296421823169,43.5219580197336,-5.62429223647191
150,15,0,128.95199909363373,43.52105859677816,-5.625298973892795,43.5219581583186,-5.6242924563284
160,16,0,129.00992337377957,43.521060718793485,-5.62530301598492,43.5219586021027,-5.6242925170776
170,17,0,129.08185105609488,43.52106199813748,-5.625305459501232,43.521958963265,-5.62429200426726
180,18,0,129.10003352110976,43.5210622900146,-5.6253060272337585,43.5219590299369,-5.6242918377704
190,19,0,129.14954222106775,43.52106242338332,-5.625306301298275,43.5219591382414,-5.62429110276712
200,20,0,129.20317974965639,43.52106277033308,-5.62530697943681,43.5219592196047,-5.6242902884265
210,21,0,129.19097649947824,43.52106235931359,-5.625306209332229,43.5219590978265,-5.62429024170992
220,22,0,129.16917962962305,43.52106180882832,-5.6253051705284784,43.5219591061312,-5.62429056751184
230,23,0,129.12345167414497,43.52106063232476,-5.625302946446011,43.5219586903481,-5.62429051917478
240,24,0,129.08191929136885,43.52105969172569,-5.625301174836857,43.5219583214649,-5.62429052678764
250,25,0,129.06670298540905,43.521059083314505,-5.625300031031071,43.5219581897992,-5.62429048828225
254,0,254,92.3052637884468,43.52144376848371,-5.625187257552673,43.5219582482231,-5.62429045338022
260,26,0,129.07932343832127,43.52105918153454,-5.625300221528863,43.5219582684405,-5.62429039801046
270,27,0,129.07155597243616,43.52105943674268,-5.625300712901019,43.521958239413,-5.62429056058318
280,28,0,129.0835869672729,43.5210598243167,-5.625301457491317,43.5219582702061,-5.62429046593497
290,29,0,129.11384442165135,43.521060031989414,-5.625301859681195,43.5219584718053,-5.62429026504318
300,30,0,129.11095790803395,43.521059330865704,-5.62530054299827,43.5219583482559,-5.62428998135931
310,31,0,129.0795606059892,43.52105835991864,-5.625298706417248,43.5219582202408,-5.6242901893097
320,32,0,129.05125911632183,43.521058321015296,-5.625298627516738,43.521958291685,-5.62429085382894
330,33,0,129.04731762408298,43.52105845689414,-5.625298878853058,43.5219584294817,-5.62429118588687
340,34,0,129.02154446868167,43.521058159986836,-5.625298313589663,43.5219584319913,-5.62429163631577
350,35,0,129.0086418644285,43.521057984150914,-5.625297980644728,43.5219583229902,-5.62429167090877
360,36,0,128.9907525155516,43.52105709921335,-5.625296304800759,43.5219582507038,-5.62429173196998
370,37,0,129.0237890267931,43.521058001020656,-5.625298016748861,43.5219585079675,-5.62429169504283
380,38,0,129.13156411543122,43.521063491750056,-5.625308414271655,43.5219588828389,-5.62429134626318
390,39,0,129.16176506259023,43.521066865178994,-5.6253147775392485,43.5219588498452,-5.62429144749533
400,40,0,129.24958594830608,43.52106940066009,-5.625319520929315,43.5219591473793,-5.62429079791055
410,41,0,129.60418358934538,43.52107106324813,-5.6253226651987704,43.5219603331788,-5.62428633909936
420,42,0,130.1118223581577,43.52107199862308,-5.625324482447015,43.521962457462,-5.62428036452011
430,43,0,130.91397354264308,43.52107236903172,-5.625325238199374,43.5219664819417,-5.62427171292377
440,44,0,132.3118300312954,43.52107242195162,-5.6253253818815825,43.521972712618,-5.62425519286176
450,45,0,133.63384749922633,43.5210723040061,-5.62532519137966,43.5219779924521,-5.62423857984515
460,46,0,135.23810391587472,43.52107218341056,-5.625324986618307,43.5219844063257,-5.62421849093922
470,47,0,137.5892948684547,43.52107208036476,-5.625324808717868,43.5219933321352,-5.62418845517909
480,48,0,139.31743167525977,43.52107199499714,-5.6253246592119,43.5219997551099,-5.62416627418302
490,49,0,141.07452632238156,43.5210719364611,-5.625324556522031,43.522006300018,-5.62414384324646
500,50,0,143.2356182876692,43.52107189887007,-5.625324491149623,43.522014480986,-5.6241165817028
508,0,508,118.92409102465801,43.521485609956635,-5.625379365576777,43.5220185497043,-5.62410247774148
510,51,0,144.89531304088538,43.52107186880009,-5.625324438845198,43.5220206760524,-5.62409559941316
520,52,0,146.60861631698108,43.5210718454551,-5.62532439839077,43.5220268303048,-5.62407366646485
530,53,0,148.79747228064832,43.52107183818524,-5.625324387393754,43.5220348607353,-5.62404601000576
540,54,0,150.42332539118257,43.521071840412596,-5.625324393709165,43.5220411901429,-5.62402606386029
550,55,0,152.11842837723995,43.52107184388978,-5.6253244020335735,43.5220474655882,-5.6240048684585
560,56,0,154.19473396939617,43.521071847456916,-5.625324410234294,43.5220554431822,-5.6239793944432
570,57,0,155.5377560077709,43.521071851969964,-5.625324419805388,43.5220605699074,-5.62396291454342
580,58,0,156.72994740803352,43.52107185772211,-5.625324431415825,43.5220650947145,-5.62394827764927
590,59,0,158.00349898876783,43.52107185678619,-5.6253244304057874,43.5220700503588,-5.62393283259124
600,60,0,158.8046393541192,43.52107185085392,-5.625324419865698,43.5220731757362,-5.62392313820194
610,61,0,159.45408100457945,43.52107183919686,-5.625324398518362,43.5220753894069,-5.62391484989296
620,62,0,160.10203982082268,43.521071829231545,-5.625324380233689,43.5220777525098,-5.62390679889349
630,63,0,160.44946983716798,43.52107182127018,-5.625324365622803,43.5220789649662,-5.62390241028389
640,64,0,160.6772374310161,43.52107182330833,-5.62532436956405,43.5220797299136,-5.62389949802802
650,65,0,160.77881781026036,43.521071831618,-5.625324385118456,43.5220802067216,-5.62389838584753
660,66,0,160.84156093179772,43.52107183511343,-5.625324391675062,43.5220805953248,-5.62389782460603
670,67,0,160.87140879373166,43.52107183674158,-5.62532439474657,43.5220807862725,-5.62389756579508
680,68,0,160.88542521184726,43.521071835066564,-5.6253243916228515,43.5220808512696,-5.62389740979481
690,69,0,160.96715937545918,43.521071842201266,-5.6253244049875795,43.5220812427599,-5.62389652575415
700,70,0,161.19959703079365,43.521071846065176,-5.6253244123363455,43.5220822107085,-5.62389380803799
710,71,0,161.84655665068223,43.52107184184657,-5.625324404732934,43.5220845157024,-5.62388571776528
720,72,0,162.5979080803051,43.521071833833375,-5.625324390189053,43.5220871967062,-5.62387633568294
730,73,0,163.56879795331724,43.52107182067733,-5.6253243661278605,43.5220906626352,-5.62386422782687
740,74,0,164.8091668984567,43.521071804985645,-5.625324337310201,43.5220950107666,-5.62384867856214
750,75,0,165.69977269640094,43.52107179266952,-5.625324314735178,43.5220980564547,-5.6238374301961
760,76,0,166.58570710308553,43.521071790637855,-5.625324311304554,43.5221012500507,-5.62382647530374
761,0,761,191.65068069294387,43.521241027231795,-5.625878793980915,43.5221022998041,-5.62382296816104
770,77,0,167.7307732359136,43.521071790035506,-5.625324310532896,43.5221054500259,-5.62381242966299
780,78,0,168.55427444180268,43.52107179029741,-5.625324311356079,43.5221084698248,-5.62380233997999
790,79,0,169.452680820335,43.521071784234586,-5.625324300360836,43.5221117874436,-5.62379136991898
800,80,0,170.55661554016388,43.52107177684033,-5.625324286871869,43.5221156837566,-5.62377767398952
810,81,0,171.3944015253094,43.52107176879264,-5.625324272144687,43.5221186542787,-5.62376730850613
820,82,0,172.25106641195237,43.52107176462359,-5.625324264646815,43.5221216885731,-5.62375671854356
830,83,0,173.39280386172305,43.52107176327824,-5.6253242624175295,43.5221257431851,-5.62374263703365
840,84,0,174.22296639410985,43.52107175829398,-5.625324253385554,43.522128700103,-5.62373241866584
850,85,0,175.34003878817904,43.52107175230759,-5.625324242471873,43.5221323961044,-5.62371832860219
860,86,0,176.13273626862087,43.52107174558159,-5.6253242301747735,43.5221350123683,-5.62370833272582
870,87,0,176.97053990694616,43.521071744290964,-5.625324228013111,43.5221379061652,-5.62369794295156
880,88,0,177.83376066382112,43.52107174856161,-5.625324236224325,43.52214104525,-5.62368744741136
890,89,0,178.95351583331728,43.52107175828617,-5.625324254609051,43.5221452676876,-5.62367403470335
